"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-01","11.18","0.02","0.0","0.0",,"45","30","    1",,,,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-02","8.72","0.00","0.0","0.0",,"36","21",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-03","7.38","0.00","0.0","0.0",,"36","20",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-04","8.28","0.00","0.0","0.0",,"28","19",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-05","8.05","0.00","0.0","0.0",,"34","14",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-06","2.91","0.00","0.0","0.0",,"39","15",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-07","6.49","0.02","0.0","0.0",,"39","21","    1",,,"    1","    1",,,"    1",,,,,,"    1",,"    1",,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-08","11.41","0.00","0.0","0.0",,"26","15",,,,,,,"    1","    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-09","10.74","0.00","0.0","0.0",,"32","16",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-10","6.26","0.00","0.0","0.0",,"35","16",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-11","5.37","0.00","0.0","0.0",,"45","14",,,,,,,,"    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-12","6.49","0.00","0.0","0.0",,"41","21",,,,,,,,"    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-13","0.89","0.00","0.0","0.0",,"50","17","    1",,,,,,"    1","    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-14","0.89","0.00","0.0","0.0",,"52","24",,,,,,,"    1","    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-15","1.79","0.00","0.0","0.0",,"62","27",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-16","9.17","0.42","0.0","0.0",,"54","49","    1",,,,"    1",,"    1","    1",,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-17","11.41","0.16","0.0","0.0",,"58","45","    1",,,,"    1",,,,,,,"    1","    1","    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-18","1.57","0.00","0.0","0.0",,"61","39","    1","    1",,,,,"    1","    1",,,,"    1",,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-19","2.91","0.00","0.0","0.0",,"65","36","    1",,,,,,,"    1",,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-20","7.16","0.10","0.0","0.0",,"67","48","    1",,"    1",,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-21","9.17","0.92","0.0","0.0",,"69","48","    1",,"    1",,"    1",,,,,,,"    1",,"    1",,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-22","1.57","0.00","0.0","0.0",,"56","42",,,,,,,,,,,,,,,,,,,
"USW00013876","BIRMINGHAM AIRPORT, AL US","2010-01-23","10.07","0.00","0.0","0.0",,"51","43","    1",,,,,,,,,,,"    1",,,,,,,
